,TYPE,Initial,Periods,Participation rate,Boost level,Autocall,fixed_rate_start,fixed_rate_incr,Buffer,Barrier,Coupon Rate,Threshold,Market price,Implied Volatility
0,auto_call_coupon,249.65,12,1.0,-100.0,1.1,,,,0.8,0.0425,0.2,100.0,
1,auto_call_coupon,33.29,6,1.0,-100.0,1.1,,,,0.6,0.0645,-0.4,100.0,0.12924214001540993
2,booster_par_with_barrier,48.24,5,3.0,0.65,1.0,,,,-0.25,,-100.0,96.0,1.483183422290521
3,autocall_changing_fixed_rate,411.13,5,1.0,-100.0,1.0,0.1,0.05,,0.8,,-100.0,97.5,0.3872437126659586
4,auto_call_coupon,250.39,12,1.0,-100.0,1.1,,,,0.85,0.0415,-0.15,97.5,
5,booster_par,72.0829499,6,2.0,-0.2,1.0,,,0.0,100.0,,-100.0,96.0,1.2016274347929012
6,auto_call_coupon,909.21,12,1.0,-100.0,1.1,,,,0.7,0.025,-0.3,98.0,
7,auto_call_coupon,3658.79,12,1.0,-100.0,1.1,,,,0.75,0.0275,-0.25,97.5,
8,autocall_changing_fixed_rate,87.83833,5,1.0,-100.0,1.0,0.13,0.0375,,0.8,,-100.0,,
9,auto_call_coupon,43.09,6,1.0,-100.0,1.1,,,,0.8,0.15,-0.2,97.5,0.2764554645171751
10,auto_call_coupon,919.65,12,1.0,-100.0,1.1,,,,0.65,0.021,-0.35,97.5,
11,auto_call_coupon,919.65,12,1.0,-100.0,1.1,,,,0.65,0.0255,-0.35,100.0,
12,auto_call_coupon,2399.63,12,1.0,-100.0,1.1,,,,0.6,0.025,-0.4,100.0,
