,TYPE,Initial,Periods,Participation rate,Boost level,Autocall,fixed_rate_start,fixed_rate_incr,Buffer,Barrier,Coupon Rate,Threshold,Market price,Implied Volatility
0,booster_par_with_barrier,858.58,5,1.4,0.0,1.0,,,,-0.3,,-100.0,96.0,1.0992360249908246
1,booster_par,840.63,5,1.45,-0.25,1.0,,,,100.0,,-100.0,100.0,1.0848176260831466
2,autocall_changing_fixed_rate,10.81,3,1.0,-100.0,1.0,0.1,0.06,,0.75,,-100.0,97.0,0.27506209879468835
3,autocall_changing_fixed_rate,3429.84,3,1.0,-100.0,1.0,0.075,0.056,,0.7,,-100.0,97.5,0.24632053962477557
4,barrier_coupon,884.95,11,1.0,-100.0,1.0,,,,0.8,0.04,0.0,97.5,0.06
5,buffer_or_barrier,808.93,5,1.0,-100.0,1.0,,,-0.3,100.0,,-100.0,100.0,0.01
6,buffer_or_barrier,808.93,5,1.0,-100.0,1.0,,,-0.3,100.0,,-100.0,100.0,0.01
7,autocall_changing_fixed_rate,2448.19,5,1.0,-100.0,1.0,0.09,0.09,,0.75,,-100.0,97.5,0.4841801509642485
8,barrier_coupon_participation,863.86,10,0.05,-100.0,1.0,,,,0.7,0.02075,-0.3,97.5,0.1160590990105759
9,barrier_coupon_participation,863.86,11,0.05,-100.0,1.0,,,,0.75,0.026,-0.25,97.5,0.15175309022664296
10,autocall_changing_fixed_rate,811.31,5,1.0,-100.0,1.0,0.09,0.09,,0.75,,-100.0,100.0,0.4346460975021665
11,barrier_coupon_participation,3726.07,11,0.05,-100.0,1.0,,,,0.65,0.02,-0.35,97.5,0.12708304672526993
12,autocall_changing_fixed_rate,10.64,4,1.0,-100.0,1.0,0.17,0.07,,0.8,,-100.0,100.0,0.3872442694705323
13,autocall_changing_fixed_rate,3079.99,5,1.0,-100.0,1.0,0.09,0.055,,0.75,,-100.0,97.5,0.38724359518242657
14,autocall_changing_fixed_rate,2449.99,5,1.0,-100.0,1.0,0.17,0.05,,0.75,,-100.0,100.0,0.39096482277206
15,booster_par_with_barrier,3684.04,10,1.0,0.0,1.0,,,,-0.25,,-100.0,97.0,0.5283353233044549
16,autocall_changing_fixed_rate,12.5,3,1.0,-100.0,1.0,0.1,0.05,,0.6,,-100.0,97.5,0.30992339226967114
17,autocall_changing_fixed_rate,813.55,5,1.0,-100.0,1.0,0.085,0.06,,0.75,,-100.0,97.5,0.38724375268850403
18,autocall_changing_fixed_rate,2525.66,5,1.0,-100.0,1.0,0.1,0.1,,0.75,,-100.0,97.5,0.4841799533000296
